Date,AFF,Discharge,SRF,AIML,WIMS,RainfallAverageCatchement,Station,station_name_modified,WarningLevel,DangerLevel,HFL,River,District,State,Basin,Latitude,Longitude,TOF,AFFPublishing,Station_Hindi_name_modified,startofhindcast,endofforecast,y_lower_limit,y_upper_limit,y_upper_limit_rainfall
2026-09-03 09:00:00,53.89,1595.9751,,,53.7,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 10:00:00,53.89,1597.3872,,,53.7,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 11:00:00,53.9,1598.4094,,,53.7,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 12:00:00,53.9,1599.0485,,,53.7,1.1,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 13:00:00,53.9,1599.3126,,,53.7,1.1,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 14:00:00,53.91,1599.2129,,,53.7,1.1,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 15:00:00,53.91,1598.7745,,,53.69,0.3,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 16:00:00,53.91,1598.0627,,,53.69,0.3,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 17:00:00,53.91,1597.1882,,,53.68,0.3,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 18:00:00,53.9,1596.2704,,,53.68,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 19:00:00,53.9,1595.3909,,,53.67,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 20:00:00,53.9,1594.5813,,,53.67,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 21:00:00,53.9,1593.8298,,,53.67,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 22:00:00,53.9,1593.0928,,,53.67,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-03 23:00:00,53.89,1592.3103,,,53.66,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 00:00:00,53.89,1591.4236,,,53.66,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 01:00:00,53.89,1590.3842,,,53.66,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 02:00:00,53.88,1589.1561,,,53.65,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 03:00:00,53.88,1587.7178,,,53.65,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 04:00:00,53.88,1586.0601,,,53.65,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 05:00:00,53.87,1584.1833,,,53.67,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 06:00:00,53.86,1582.0925,,,53.7,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 07:00:00,53.86,1579.791,,,53.73,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 08:00:00,53.85,1577.2792,,,53.76,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 09:00:00,53.84,1574.556,,,53.78,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 10:00:00,53.84,1571.6277,,,53.79,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 11:00:00,53.83,1568.5026,,,53.8,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 12:00:00,53.82,1565.1823,,,53.8,0.2,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 13:00:00,53.81,1561.6676,,,53.8,0.2,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 14:00:00,53.8,1557.9611,,,53.8,0.2,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 15:00:00,53.79,1554.0668,,,53.79,0.2,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 16:00:00,53.78,1549.9921,,,53.79,0.2,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 17:00:00,53.77,1545.7601,,,53.79,0.2,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 18:00:00,53.76,1541.4149,,,53.78,0.4,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 19:00:00,53.75,1536.9341,,,53.78,0.4,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 20:00:00,53.74,1532.3923,,,53.78,0.4,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 21:00:00,53.72,1527.8353,,,53.77,0.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 22:00:00,53.71,1523.2745,,,53.77,0.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-04 23:00:00,53.7,1518.7349,,,53.77,0.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 00:00:00,53.69,1514.2653,,,53.77,1.4,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 01:00:00,53.68,1509.9418,,,53.77,1.4,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 02:00:00,53.67,1505.8696,,,53.77,1.4,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 03:00:00,53.66,1502.1808,,,53.76,0.8,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 04:00:00,53.65,1499.0502,,,53.76,0.8,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 05:00:00,53.64,1496.6844,,,53.75,0.8,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 06:00:00,53.63,1495.2489,,,53.75,0.3,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 07:00:00,53.62,1494.8237,,,53.75,0.3,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 08:00:00,53.62,1495.405,,,53.74,0.3,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 09:00:00,53.62,1496.9054,,,53.73,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 10:00:00,53.62,1499.1859,,,53.72,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 11:00:00,53.62,1502.0682,,,53.71,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 12:00:00,53.62,1505.3689,,,53.7,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 13:00:00,53.62,1508.9128,,,53.68,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 14:00:00,53.63,1512.5378,,,53.66,0.0,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 15:00:00,53.64,1516.1036,,,53.63,0.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 16:00:00,53.64,1519.4972,,,53.61,0.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 17:00:00,53.65,1522.6456,,,53.59,0.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 18:00:00,53.65,1525.5092,,,53.58,0.5,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 19:00:00,53.66,1528.0675,,,53.57,0.5,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 20:00:00,53.66,1530.3486,,,,0.5,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 21:00:00,53.67,1532.4116,,,,1.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 22:00:00,53.67,1534.3285,,,,1.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-05 23:00:00,53.68,1536.1782,,,,1.6,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
2026-09-06 00:00:00,53.68,1538.0751,,,,1.1,DHARAMTUL,DHARAMTUL,55.0,56.0,58.09,KOPILI,MARIGAON,ASSAM,BRAHMAPUTRA BASIN,26.16833,92.35861,2026-09-05 09:00:00,1,à¤§à¤°à¤®à¤¤à¥à¤²,2026-09-03 09:00:00,2026-09-12 09:00:00,48.7,60.09,2.4
