event_id,basin,site,onset_utc,end_utc,peak_value,unit,threshold,threshold_def,source,class,confidence,notes
cwc_beki_road_bridge_2026-08-26T07,beki_barpeta,CWC BEKI ROAD BRIDGE (BEKI),2026-08-26T07:30Z,2026-08-27T23:30Z,44.3,m,44.1,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 45.1 m; hourly observed
cwc_beki_road_bridge_2026-08-28T05,beki_barpeta,CWC BEKI ROAD BRIDGE (BEKI),2026-08-28T05:30Z,2026-08-28T05:30Z,44.11,m,44.1,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 45.1 m; hourly observed
cwc_dibrugarh_2026-08-26T03,brahmaputra_dibrugarh,CWC DIBRUGARH (BRAHMAPUTRA),2026-08-26T03:30Z,2026-08-28T05:30Z,105.07,m,104.7,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 105.7 m; hourly observed
cwc_tezpur_2026-09-01T18,brahmaputra_tezpur,CWC TEZPUR (BRAHMAPUTRA),2026-09-01T18:30Z,2026-09-01T18:30Z,64.23,m,64.23,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 65.23 m; hourly observed
cwc_tezpur_2026-09-03T07,brahmaputra_tezpur,CWC TEZPUR (BRAHMAPUTRA),2026-09-03T07:30Z,2026-09-03T15:30Z,64.3,m,64.23,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 65.23 m; hourly observed
cwc_golaghat_2026-08-27T16,dhansiri_golaghat,CWC GOLAGHAT (DHANSIRI (SOUTH)),2026-08-27T16:30Z,2026-08-28T05:30Z,88.65,m,88.5,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 89.5 m; hourly observed
cwc_golaghat_2026-08-30T02,dhansiri_golaghat,CWC GOLAGHAT (DHANSIRI (SOUTH)),2026-08-30T02:30Z,2026-08-30T15:30Z,88.64,m,88.5,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 89.5 m; hourly observed
dikhow_glofas_q90_2015-07-20,dikhow,dikhow_sivasagar (GloFAS cell),2015-07-20,2015-07-26,768.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2015-08-19,dikhow,dikhow_sivasagar (GloFAS cell),2015-08-19,2015-09-07,828.9,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2015-09-19,dikhow,dikhow_sivasagar (GloFAS cell),2015-09-19,2015-09-20,655.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2016-04-19,dikhow,dikhow_sivasagar (GloFAS cell),2016-04-19,2016-04-25,1093.0,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2016-05-21,dikhow,dikhow_sivasagar (GloFAS cell),2016-05-21,2016-05-21,537.3,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2016-06-08,dikhow,dikhow_sivasagar (GloFAS cell),2016-06-08,2016-06-08,551.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2016-06-17,dikhow,dikhow_sivasagar (GloFAS cell),2016-06-17,2016-06-17,509.5,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
